id	name	rarity	description	requirements	effects
1877	The idol gets power.	0	The idol gets power.	rare 7|unique 2|0x4700 1|0x7800 2449|code -85	astralboost 1|1d6units Spine Devil
1878	The idol gets gems and power.	0	The idol gets gems and power.	rare 7|unique 3|0x4700 1|0x7800 2449|code -85	deathboost 1|addequip 1|1d6units Spine Devil
1879	Northmen are raiding the coast, but seem	0	Northmen are raiding the coast, but seem to avoid battle.	0x5400 28|rare 3|coast 1|maxdef 16|code -85	kill 1|unrest 10
1880	The Idol of the northmen is still unoppo	0	The Idol of the northmen is still unopposed! Now strong in magic, it has sent fiends of the nether realms to punish this province!	rare 1|land 1|maxdef 16|code -85	2com Spine Devil|2d6units Spine Devil
1881	The Northmen and their sinister allies a	0	The Northmen and their sinister allies are claiming this land! [Hall of the Draugadrott]	site 0|rare 10|land 1|unique 2|code 0|0x4400 -85	code -86|2com Draugadrott|4d6units Huskarl|4d6units Hirdman|4d6units Draug
1882	The northmen have been driven away! Some	0	The northmen have been driven away! Some of their plunder was salvaged. People in the area are finding faith and hope anew! 	nomonster Draugadrott|land 1|code -87|code -86	code 0|unrest -20|incdom 3|gold 300|magicitem 2
1883	The northmen settle. [Hall of the Drauga	0	The northmen settle. [Hall of the Draugadrott]	site 1|monster Draugadrott|rare 25|0x4700 1|land 1|code -86|unique 1	code -87|3d6units Huskarl|3d6units Hirdman|2d6units Draug|newsite -1
1884	The northmen strengthen their hold.	0	The northmen strengthen their hold.	0x4700 1|0x7800 2194|unique 4|rare 13|land 1|code -87	deathboost 1|addequip 1|3d6units Huskarl|3d6units Hirdman|2d6units Draug
1885	The Draugadrottir have come to claim a l	0	The Draugadrottir have come to claim a land to rule under the waves!	0x4700 1|rare 10|land 0|unique 1|code 0|0x4400 -85|0x5400 28	code -86|2com Draugadrott|deathboost 1|5d6units Draug
1886	The draug settle. [Hall of the Draugadro	0	The draug settle. [Hall of the Draugadrott]	monster Draugadrott|rare 25|0x4700 1|land 0|code -86	code -87|newsite -1|2d6units Draug
1887	The draug strengthen their hold.	0	The draug strengthen their hold.	0x4700 1|0x7800 2194|unique 6|rare 13|land 0|code -87	deathboost 1|addequip 1|2d6units Draug
1888	The Draug have been driven away! People 	0	The Draug have been driven away! People find faith and hope anew! Some of their plunder was salvaged. People in the area are finding faith and hope anew! 	nomonster Draugadrott|land 0|0x4700 1|code -87|code -86	code 0|unrest -20|incdom 3|gold 300|magicitem 2
1889	The draugadrott gain power.	0	The draugadrott gain power.	0x4700 1|unique 2|land 0|0x7800 2194|code -87	deathboost 1|waterboost 1|addequip 1
1890	The draugadrott gain power.	0	The draugadrott gain power.	0x4700 1|unique 2|land 1|0x7800 2194|code -87	deathboost 1|waterboost 1|addequip 1
1891	The Sorcerous Idol has sent a demon to s	0	The Sorcerous Idol has sent a demon to slay one of your commanders.	rare 1|commander 1|0x4300 -85	assassin Spine Devil
1892	The Idol has cursed your advancing army!	0	The Idol has cursed your advancing army!	rare 50|unique 2|mintroops 50|0x4400 -85	curse 20
1893	The Idol has quested out with its powerf	1	The Idol has quested out with its powerful force of will and struck one of your mages!	0x7A00 53|0x7E00 0|0x4300 -85	0x6C00 0
1894	The Idol has quested out with its powerf	0	The Idol has quested out with its powerful force of will and struck one of your mages!	0x7A00 53|0x7E00 0|rare 50|unique 3|0x4400 -85	0x6C00 0
1895	The idol grants its followers boons. [Bl	0	The idol grants its followers boons. [Black Bow of Botulf]	rare 15|unique 2|0x4700 1|0x7800 1|code -85	addequip 9
1896	The idol grants its followers boons. [Fl	0	The idol grants its followers boons. [Flesh Eater]	rare 15|unique 2|0x4700 1|0x7800 1|code -85	addequip 9
1897	The idol grants its followers boons. [Ho	0	The idol grants its followers boons. [Horror Helmet]	rare 15|unique 2|0x4700 1|0x7800 1|code -85	addequip 9
1898	The idol grants its followers boons. [Ri	0	The idol grants its followers boons. [Ring of the Warrior]	rare 15|unique 2|0x4700 1|0x7800 1|code -85	addequip 9
1899	The Sorcerous Idol has sent a demon to s	0	The Sorcerous Idol has sent a demon to slay one of your commanders.	rare 55|commander 1|unique 4|mintroops 10|0x4400 -85	assassin Spine Devil
1900	Dead have risen to attack your army! Sur	0	Dead have risen to attack your army! Surely, some sorcerous evil must be behind this.	rare 55|unique 2|mintroops 20|fort 0|0x4400 -85	3com -2|12d6units -2|12d6units -15
1901	The Idol raises fallen warriors to serve	0	The Idol raises fallen warriors to serve once more.	0x4700 1|rare 30|unique 3|code -73	3d6units Soulless Warrior|1com Draugadrott|deathboost 1|addequip 1|2d6units Draug
1902	The Idol is behung with offerings. [Woun	0	The Idol is behung with offerings. [Wound Fend Amulet]	0x4700 1|rare 30|unique 1|0x7800 2449|code -73	addequip 9
1903	A fleet of Dragon-headed ships have been	0	A fleet of Dragon-headed ships have been sighted at sea.	rare 3|coast 1|maxdef 19|0x4300 -73|code 0	code -74
1904	A fleet of Dragon-headed ships have been	0	A fleet of Dragon-headed ships have been sighted at sea.	rare 2|coast 1|maxdef 19|0x4300 -85|0x5400 28|code 0	code -74
1905	Northmen have attacked from the sea! Amo	0	Northmen have attacked from the sea! Among their numbers are undead warriors that put fear into the hearts of even the bravest of men.	maxdef 19|maxtroops 20|rare 80|code -74	code 0|1com Herse|4d6units Huskarl|4d6units Hirdman|2com Draug|3d6units Draug
1906	Northmen have attacked from the sea! Amo	0	Northmen have attacked from the sea! Among their numbers are undead warriors that put fear into the hearts of even the bravest of men.	coast 1|maxdef 19|rare 4|0x4300 -73|land 1	1com Herse|4d6units Huskarl|4d6units Hirdman|2com Draug|1d6units Draug
1907	Lord save us from the wrath of the North	0	Lord save us from the wrath of the Northmen and their pagan God! Your people cry your name in anguish while raiders from the sea bear down upon the land. The dead fight alongside their living kin!	rare 9|coast 1|maxdef 15|0x4300 -73	2com Soulless Warrior|1com Herse|0x6C00 0|6d6units Huskarl|6d6units Soulless Warrior|2com Hirdman
1908	Longships have been repelled from our sh	0	Longships have been repelled from our shores by brave defenders! People praise their Lord!	rare 10|mindef 20|code -74	code 0|incdom 3
1909	Longships have been repelled from our sh	0	Longships have been repelled from our shores by brave defenders! People praise their Lord!	rare 3|coast 1|mindef 20|0x4300 -73	incdom 3
1910	Lord save us from the wrath of the North	0	Lord save us from the wrath of the Northmen! Raiders have sailed up the river to pillage the poorly defended land. 	rare 7|freshwater 1|maxdef 10|noseason 3|0x4300 -73	1com Herse|8d6units Huskarl|4d6units Hirdman|2com Hirdman
1911	Lord save us from the wrath of the North	0	Lord save us from the wrath of the Northmen! A deadly cold rises from the sea when unhuman warriors come to slay the living, envious of their warmth.	rare 2|coast 1|maxdef 18|0x4300 -73	1com Draugadrott|3d6units Draug|6d6units Soulless Warrior|2com Draug
1912	The Idol is behung with offerings. [Effi	0	The Idol is behung with offerings. [Effigy of War]	rare 20|unique 1|0x7800 2449|code -73	addequip 9
1913	The frozen seas have stopped the attacks	13	The frozen seas have stopped the attacks from the northmen!	0x5300 28|code -14	0x6900 -14|0x6900 -15|0x6900 -72
1914	The frozen seas have stopped the attacks	13	The frozen seas have stopped the attacks from the northmen, forcing the Idol to consolidate its power in ##landname##.	0x5300 28|code -73	code -85|revealprov 1
1915	Demonic event, during Looming Hell.	0	Demonic event, during Looming Hell.	0x5300 42|rare 1|land 1|code 0	code -49|0x7100 1
1916	Fertility event in forest, during enchan	0	Fertility event in forest, during enchanted forest.	land 1|rare 1|0x5300 24|forest 1|code 0	code -26|0x7100 1
1917	A strange and sinister cult has gained f	2	A strange and sinister cult has gained foothold among the people.	temple 0|land 1|maxdominion 3|freesites 1|unique 2|code 0|0x4600 1	code 166|incdom -3
1918	The mysterious Cult is gaining followers	0	The mysterious Cult is gaining followers and influence! Priests should be sent to lead the lost into the fold. Only the strength of your divine presence will purge this Evil from the land!	rare 25|maxdominion 5|code 166	0x6B00 1|code 167|incdom -2
1919	Your divine presence has purged Evil fro	0	Your divine presence has purged Evil from the land, aided by some summary executions of Cult worshippers.	dominion 6|code 167	code 0
1920	Your priests has purged Evil from the la	0	Your priests has purged Evil from the land, aided by some summary executions of Cult worshippers.	dominion 3|0x4800 5|code 167	code 0
1921	The Horror Cult has taken root! People p	0	The Horror Cult has taken root! People pay secret offerings to these alien powers, foolishly hoping to escape their wrath. Their souls have been lost and further prayers to save them are futile.	rare 15|maxdominion 5|code 167	code 168|incdom -3|incscale2 Turmoil
1922	A leader of the Horror Cult is spreading	0	A leader of the Horror Cult is spreading his blasphemies in secret! Unless found and dealt with, the Cult will grow in power and influence!	rare 5|code 168	stealthcom False Prophet|incdom -3
1923	Attracted by the activities of the local	0	Attracted by the activities of the local Cult, Evil has struck the land!	code 168|rare 3	kill 4|1com Horror
1924	Attracted by the activities of the local	0	Attracted by the activities of the local Cult, Evil has struck the land!	monster False Prophet|code 168|rare 7	kill 4|1com Horror
1925	Attracted by the activities of the local	0	Attracted by the activities of the local Cult, Evil has struck the land! 	monster False Prophet|code 168|rare 3	kill 4|1com Gore Tide Horror
1926	A Horror has attacked one of your comman	1	A Horror has attacked one of your commanders!	commander 1|code 168|rare 3	assassin Soultorn
1927	The Horror Cult has gained foothold! It 	1	The Horror Cult has gained foothold! It seems to be spreading from an adjacent province.	temple 0|0x4400 168|unique 3|maxdominion 6|freesites 1|code 0	code 166|incdom -3
1928	Attracted by the activities of the local	0	Attracted by the activities of the local Cult, Evil has struck the land!	monster False Prophet|code 168|rare 3	kill 4|1com Mind Slime Horror
1929	Villagers claim their infant children ha	-2	Villagers claim their infant children have grown unnaturally ugly. Some have scorned their mothers' breasts and have strange cravings. This is mostly rejected as nonsense by wiser folks.	mountain 1|unique 1|magic -1|freesites 2|code 0|0x4600 1	code 151|0x0600 5|decscale2 Drain
1930	One of your commanders has been waylaid 	0	One of your commanders has been waylaid and attacked!	rare 10|unique 2|commander 1|code 151	assassin Troll
1931	The son of a noble has been set upon by 	0	The son of a noble has been set upon by trolls while hunting in the foothills! The local garrison came to aid when hearing the sound of his horn. If he survives, the young man will probably join your cause.	rare 10|unique 1|code 151	1com War Troll|2d6units Troll|nation -2|1com Knight Commander|2d6units Heavy Cavalry
1932	Trolls have attacked! They are uncharact	0	Trolls have attacked! They are uncharacteristically well equipped and seem to fight with purpose.	rare 5|unique 3|code 151	2com War Troll|addequip 2|6d6units Troll|2d6units War Troll
1933	A goatherd claims to have seen a gilded 	0	A goatherd claims to have seen a gilded gate in the side of a mountain. When he approached, it vanished. Perhaps a mage skilled in illusions or earth magic should be sent to investigate.	rare 8|code 151	0x6B00 1|code 152|0x7600 1
1934	Your mage has found a miniscule crack in	0	Your mage has found a miniscule crack in a sheer cliff side, tracing the outline of a large gate. Some primordial magic is hiding it and preventing it from being opened. A laboratory is needed at the site to study this magic if it is to be dispelled. 	0x7900 100|pathearth 2|code 152	0x7600 0|0x6B00 1|code 153
1935	A group of trolls have emerged from the 	0	A group of trolls have emerged from the mountain at night, attacking the laboratory!	rare 30|unique 1|lab 1|code 153	2com War Troll|6d6units Troll|2d6units War Troll
1936	There has been a breakthrough in the stu	0	There has been a breakthrough in the studies of the gate! The magics hiding it have been thwarted. A beautiful stone gate, inlaid with golden bands and runes, has been revealed and lead into the mountain. According to the inscriptions this is the gate to the fabled Halls of the Mountain King. Will you send an army to invade his realm, or a diplomat to parlay?	rare 30|pathearth 2|lab 1|code 153	code 154|0x7600 240
1937	Your men have entered the mountain, foll	0	Your men have entered the mountain, following corridors roughly cut into the rock. Emerging in a large chamber, they encountered a troll in strange livery, bespeaking them. �??In the name of King Underneath, I advise you to come no further. Turn back and you will know his gratitude. Persist, and you will be crushed like tender thrush-eggs under his foot!�??	0x7900 105|code 154	code 157
1938	Pushing further into the mountain, your 	0	Pushing further into the mountain, your army has been attacked by trolls. They are led by a huge specimen, clad in bronze armor, wearing a crown upon his head. His battle bellow puts fear into the hearts of men.[Midget Masher]	0x7900 105|code 157	code 156|1com Mountain King|addequip 1|2com War Troll|addequip 9|6d6units War Troll|6d6units Troll
1939	The Troll King has been defeated and his	0	The Troll King has been defeated and his realm destroyed! In his halls were fabulous treasures gathered for hundreds of years. [Ruined Halls of the Mountain King]	nomonster Mountain King|code 156	code 0|gold 2300|3d6gems Earth|magicitem 3|magicitem 3|newsite -1
1940	Your servant has entered the mountain, f	0	Your servant has entered the mountain, following corridors roughly cut into the rock. After some time, a troll in strange livery approached. �??The King Underneath suggests a treaty! Leave these halls for good and he will share his wealth and even come to your aid if enemies threaten. Remain, and you will feel his anger!�?? A mage with knowledge of the path of Earth or one skilled in illusions would perhaps be able to travel deeper without being seen. Otherwise it is probably wise to follow the heralds advice and leave the province with all your men.	0x7900 106|commander 1|unique 1|code 154	code 157
1941	Your servant has entered the mountain, f	0	Your servant has entered the mountain, following corridors roughly cut into the rock. After some time, a troll in strange livery approached. �??The King Underneath suggests a treaty! Leave these halls for good and he will share his wealth and even come to your aid if enemies threaten. Remain, and you will feel his anger!�?? A mage with knowledge of the path of Earth or one skilled in illusions would perhaps be able to travel deeper without being seen. Otherwise it is probably wise to follow the heralds advice and leave the province with all your men.	0x7900 107|commander 1|unique 1|code 154	code 157
1942	Your cunning mage has been able to trick	0	Your cunning mage has been able to trick the guardian of the mountain and travel unseen into the depths, using the Path of Earth to blend into the rock. The treasure vault of King Kvälmu has been pilfered for some of its wealth!	0x7900 107|pathearth 2|rare 80|code 157|unique 2	gold 250
1943	Your cunning mage has been able to trick	0	Your cunning mage has been able to trick the guardian of the mountain and travel unseen into the depths, using the Path of Earth to blend into the rock. The treasure vault of King Kvälmu has been pilfered for some of its wealth!	0x7900 107|pathearth 3|rare 30|unique 1|code 157	
1944	Your cunning mage has been able to trick	0	Your cunning mage has been able to trick the guardian of the mountain and travel unseen into the depths, using illusions to bypass the guardians. The treasure vault of King Kvälmu has been pilfered for some of its wealth!	0x7900 107|0x2800 2|rare 80|code 157|unique 2	gold 250
1945	Your cunning mage has been able to trick	0	Your cunning mage has been able to trick the guardian of the mountain and travel unseen into the depths, using illusions to bypass the guardians. The treasure vault of King Kvälmu has been pilfered for some of its wealth!	0x7900 107|0x2800 3|rare 30|unique 2|code 157	gold 300
1946	Your mage has used Arcane Skill to trave	0	Your mage has used Arcane Skill to travel unseen into the mountain realm. Unfortunately the trick did not work.	0x7900 107|0x7B00 1|rare 20|code 157	assassin Troll
1947	Your mage has used Arcane Skill to trave	0	Your mage has used Arcane Skill to travel unseen into the mountain realm. Unfortunately the trick did not work.	0x7900 107|0x7B00 3|rare 20|code 157	assassin Troll
1948	The mountain gate has been sealed anew. 	0	The mountain gate has been sealed anew. In a nearby stream large nuggets of gold and silver have been found! Each month some more can be harvested, sometimes along with magical gems. [Halls of the Mountain King]	0x7900 104|code 157	gold 500|code 0|newsite -1
1949	Your mage has found a miniscule crack in	0	Your mage has found a miniscule crack in a sheer cliff side, tracing the outline of a large gate. Some primordial magic is hiding it and preventing it from being opened. A laboratory is needed at the site to study this magic if it is to be dispelled.	0x2800 2|code 152	code 153
1950	There has been a breakthrough in the stu	0	There has been a breakthrough in the studies of the gate! The magics hiding it have been thwarted. A beautiful stone gate, inlaid with golden bands and runes, has been revealed and lead into the mountain. According to the inscriptions this is the gate to the fabled Halls of the Mountain King. Will you send an army to invade his realm, or a diplomat to parlay?	rare 30|0x2800 2|lab 1|code 153	code 154|0x7600 240
1951	The King of the Mountain has spoken and 	0	The King of the Mountain has spoken and will not be swayed!	0x7900 106|code 157|unique 1	
1952	You have withdrawn from the mountain and	0	You have withdrawn from the mountain and after the night of the dark moon, the mountain gate was found sealed anew. In a nearby stream large nuggets of gold and silver have been found!	0x7900 104|code 154	gold 300|code 0
1953	Your mage has tried to trick the guardia	0	Your mage has tried to trick the guardian of the mountain. The Troll Kings anger has been stirred!	0x7900 107|rare 30|pathearth 1|code 157	code 156|1com Mountain King|addequip 1|6d6units War Troll|6d6units Troll
1954	Your mage has tried to trick the guardia	0	Your mage has tried to trick the guardian of the mountain. The Troll Kings anger has been stirred!	0x7900 107|rare 30|0x2800 1|code 157	code 156|1com Mountain King|addequip 1|6d6units War Troll|6d6units Troll
1955	One of your commanders has been waylaid 	0	One of your commanders has been waylaid and attacked!	rare 10|unique 2|commander 1|code 152	assassin Troll
1956	An adventurer has come to aid, lured by 	0	An adventurer has come to aid, lured by the fabled riches of the Mountain King.	rare 10|unique 2|code 152	nation -2|1com -13|addequip 2
1957	A group of adventurers has come to your 	0	A group of adventurers has come to your aid. They seek the fabled riches of the Mountain King.	rare 10|unique 1|code 152	nation -2|1com -13|addequip 2|1com -13|1com -13
1958	An adventurer has come to aid, lured by 	0	An adventurer has come to aid, lured by the fabled riches of the Mountain King.	rare 10|unique 2|code 153	nation -2|1com -13|addequip 2
1959	Troll dung has been found at the edge of	2	Troll dung has been found at the edge of the forest. They usually don't travel this close to settlements unless bent on mischief.	forest 1|code 0|capital 0	code -12
1960	Trolls!	0	Trolls!	rare 70|code -12	code 0|2com Forest Troll|6d6units Forest Troll
1961	Troll dung has been found at the outskir	2	Troll dung has been found at the outskirts of a village. They usually don't travel this close to settlements unless bent on mischief.	mountain 1|code 0	code -13
1962	Trolls!	0	Trolls!	rare 70|code -13	code 0|1com War Troll|6d6units Troll
1963	People have been disappearing in the are	-2	People have been disappearing in the area around the highlands. [Mist Covered Highlands]	mountain 1|rare 3	unrest 5|kill 1|newsite -1
1964	Travelers have disappeared in the mist c	-1	Travelers have disappeared in the mist covered highlands. The thick mists there seem almost unnatural. [Mist Covered Highlands]	site 1	decscale1 Drain
1965	People have been disappearing in the are	2	People have been disappearing in the area around the highlands. [Mist Covered Highlands]	site 1	unrest 5|kill 1
1966	People have been disappearing in the are	0	People have been disappearing in the area around the highlands. [Mist Covered Highlands]	unique 1|foundsite 1|rare 3|turn 20|code 0	code 50|unrest 5|kill 1
1967	Phantasmal warriors have appeared from w	0	Phantasmal warriors have appeared from within the Mist Covered Highlands. They seem directed by an unknown force of will.	rare 25|code 50	code 51|1com Phantasmal Warrior|4d6units Phantasmal Warrior
1968	A man has appeared. He seeks to unveil t	0	A man has appeared. He seeks to unveil the secret of the Mist Covered Highlands. [Mist Covered Highlands]	foundsite 1|unique 1|rare 20	nation -2|1com Cloud Mage|addequip 1
1969	Some extra gems have been found in the M	-1	Some extra gems have been found in the Mist Covered Highlands this month.[Mist Covered Highlands]	foundsite 1	1d3gems Air
1970	Phantasmal warriors and beasts are emerg	0	Phantasmal warriors and beasts are emerging in great numbers from the Mist Covered Highlands.	rare 25|code 51	code 52|1com Phantasmal Warrior|2d6units Phantasmal Warrior|2d6units Phantasmal Wolf|2d6units Phantasmal Beast
1971	A host of fog-shrouded warriors have eme	0	A host of fog-shrouded warriors have emerged from The Mist Covered Highlands. They are led by a man of power.	rare 25|code 53	code 0|1com Wind Master|addequip 1|6d6units Phantasmal Warrior|3d6units Phantasmal Wolf
1972	One of your agents has investigated the 	0	One of your agents has investigated the magic of the Highlands and, when lost in its dense mists, found a cache of magic gems and an item of power. It seemed someone had hidden them on purpose.	rare 25|code 52	code 53|magicitem 2|1d6gems Air
1973	Suddenly, the air has come to life and a	0	Suddenly, the air has come to life and attacked one of your commanders!	rare 15|unique 2|commander 1|code 53	assassin Air Elemental
1974	A storm has struck! From the roiling clo	0	A storm has struck! From the roiling clouds, air elementals have formed. [Bag of Winds]	rare 15|unique 1|code 53	2com Wind Master|addequip 1|addequip 9|3d6units Air Elemental
1975	A host of fog-shrouded warriors have eme	0	A host of fog-shrouded warriors have emerged from The Mist Covered Highlands. They are led by a man of power.	rare 25|freesites 1|code 53	code 161|1com Illusionist|addequip 1|6d6units Phantasmal Warrior|3d6units Phantasmal Wolf
1976	After the recent battle, the corpse of t	0	After the recent battle, the corpse of the mage was plundered. In his pockets were found a strange object. It seems to be some kind of compass. Following its lead, your men have travelled into the mists and found a place of power. Hidden at the heart of the highlands lies a lake from which mist constantly rises. Through the veils a translucent tower can be seen. [Translucent Tower]	nomonster Illusionist|code 161|unique 1	code 0|newsite -1
1977	Plague is spreading among the populace.	2	Plague is spreading among the populace.	turn 15|noseason 3|code 0	code -16|kill 2|unrest 15
1978	There are rumors of plague in a neighbor	0	There are rumors of plague in a neighboring province. People are suspicious of foreigners and trade has been hampered. Armed men could probably seal the borders, but this would further decrease commerce.	rare 25|code 0|0x4400 -16	code -17|taxboost -25|unrest 15
1979	Plague is spreading among the populace.	0	Plague is spreading among the populace.	rare 50|code -17	code -16|kill 3|unrest 15
1980	The rumors of plague seems to have been 	0	The rumors of plague seems to have been false. People praise your mercy and pay offerings of thanks at the altars!	rare 50|code -17	code 0|taxboost 100|incdom 3|unrest -15
1981	The plague has subsided.	0	The plague has subsided.	rare 25|code -16	code 0|unrest -5
1982	The plague is still reaping both young a	0	The plague is still reaping both young and old. Prayers for mercy are whispered at your shrines!	rare 20|code -16	code 0|kill 2|incdom 1|unrest 5
1983	The plague is still reaping both young a	0	The plague is still reaping both young and old. Your priests preach that only more offerings and prayers can bring an end to suffering.	rare 25|0x2F00 1|code -16	taxboost 20|kill 2|incdom 1|unrest 5
1984	Winter has come, reducing commerce and t	0	Winter has come, reducing commerce and travel. This has also hindered the plague from spreading.	season 3|code -16	code 0
1985	Winter has come, reducing commerce and t	0	Winter has come, reducing commerce and travel. This has also hindered the plague from spreading.	season 3|code -17	code 0
1986	Your armies are protecting the borders a	0	Your armies are protecting the borders and have succeeded in containing the plague.	mintroops 20|rare 80|code -17	code 0|taxboost -80|unrest -10
1987	A cult has emerged in the wake of the re	0	A cult has emerged in the wake of the recent plague. According to its dogma disease is a blessing, for only through suffering can the holy mysteries be revealed. Perhaps it would be wise to suppress this heresy by erecting a temple of the true faith or sending priests to preach the true tenets to the people.	rare 5|temple 0|maxdominion 5|code -16	0x6B00 1|code -43|incdom -2|incscale2 Death|disease 10
1988	A glorious temple has been built! Follow	0	A glorious temple has been built! Followers flock to the novelty and turn to the true faith. The Plague Cult has waned into oblivion.	rare 75|temple 1|code -43	code -16|incdom 2
1989	The plague has subsided.	0	The plague has subsided.	rare 10|code -43	code 0
1990	The plague is still reaping both young a	0	The plague is still reaping both young and old. Your priests preach that only more offerings and prayers can bring an end to suffering.	rare 25|0x2F00 1|code -43	taxboost 20|kill 1|incdom 1|unrest 5
1991	Your divine presence has purged Evil fro	0	Your divine presence has purged Evil from the land, aided by some summary executions of Cult worshippers.	rare 50|dominion 7|code -43	code 0|kill 1
1992	A charismatic leader has emerged among t	0	A charismatic leader has emerged among the plague cultists. A skilled priest may be able to sway him into the fold of true faith, before his subversive teachings cause further trouble.	rare 30|code -43	code -41|incdom -1|incscale2 Death|disease 10
1993	Your High Priest has been able to convin	0	Your High Priest has been able to convince the leaders of the Plague Cult that they must act in accordance with your will.	rare 80|0x2F00 3|nomonster Plague Cult Leader|code -41	code 0|nation -2|1com Plague Cult Leader|3d6units Fellow
1994	Your priest has been able to convince th	0	Your priest has been able to convince the leaders of the Plague Cult that they must act in accordance with your will.	0x4800 5|nomonster Plague Cult Leader|code -41	code 0|nation -2|1com Plague Cult Leader|3d6units Fellow
1995	The leaders of the Plague Cult have gone	0	The leaders of the Plague Cult have gone into hiding. As long as they remain, the plague will continue to spread.	rare 25|code -41	code -42|1com Plague Cult Leader|addequip 1|3d6units Fellow
1996	The plague continues and the Plague Cult	0	The plague continues and the Plague Cult is gaining followers.	rare 25|monster Plague Cult Leader|code -42	disease 10|kill 2|incdom -1|unrest 5
1997	The Plague Cult has been eradicated!	0	The Plague Cult has been eradicated!	nomonster Plague Cult Leader|code -42	code 0
1998	The plague continues and the Plague Cult	0	The plague continues and the Plague Cult is gaining followers.	rare 50|code -43	incscale1 Death|kill 1|incdom -2
1999	The plague continues and the Plague Cult	0	The plague continues and the Plague Cult is gaining followers.	rare 50|code -41	incscale1 Death|kill 1|incdom -2
2000	The strong local militia is sealing the 	0	The strong local militia is sealing the borders and the spreading plague has been averted.	mindef 16|code -17	code 0|taxboost -80|unrest -10
2001	Some evil force is at work. The dead in 	-1	Some evil force is at work. The dead in an old graveyard have been restless. A powerful priest should be sent to lay them to rest. Or perhaps a necromancer could use this flux of unholy power to your advantage? [Graveyard of the Damned]	0x4600 1|land 1|death -1|unique 2|site 1|code 0	0x6B00 1|code 169|unrest 15|incscale2 Death
2002	Undead have emerged from the old graveya	0	Undead have emerged from the old graveyard. The necromancer has not been able to control them!	rare 15|pathdeath 1|code 169	code 0|3com Soulless|4d6units Soulless|2d6units Longdead
2003	Undead have emerged from the old graveya	0	Undead have emerged from the old graveyard!	rare 13|code 169	3com Soulless|4d6units Soulless|2d6units Longdead
2004	The necromancer has been able to control	0	The necromancer has been able to control the dark energies that quicken the dead.	pathdeath 2|unique 2|rare 50|code 169	nation -2|4d6units Soulless|6d6units Longdead
2005	The necromancer has been able to control	0	The necromancer has been able to control the dark energies that quicken the dead.	pathdeath 2|unique 2|rare 50|code 169	nation -2|6d6units Soulless|2d6units Longdead
2006	Your High Priest has banished the dark f	0	Your High Priest has banished the dark forces from the realm!	0x2F00 3|rare 70|code 169	code 0
2007	Your priests have banished the dark forc	0	Your priests have banished the dark forces from the realm!	0x4800 15|rare 70|code 169	code 0
2008	Your priest has been attacked by undead!	0	Your priest has been attacked by undead!	0x2F00 1|rare 20|code 169	3com Soulless|10d6units Soulless|10d6units Shadow Soldier|1com Spectral Mage|addequip 1
2009	Your Priest has banished the dark forces	0	Your Priest has banished the dark forces from the realm!	0x2F00 2|rare 30|code 169	code 0
2010	Some evil force is at work. The dead in 	-2	Some evil force is at work. The dead in an old graveyard have been restless. A powerful priest should be sent to lay them to rest. Or perhaps a necromancer could use this flux of unholy power to your advantage?	death -1|unique 2|rare 20|code 0	code 169|unrest 15|incscale2 Death
2011	A Fertility Cult has gained foothold amo	2	A Fertility Cult has gained foothold among the people.	forest 1|maxdominion 4|freesites 1|unique 3|code 0	code 172|incdom -3|decscale2 Death
2012	The Fertility Cult is gaining followers 	0	The Fertility Cult is gaining followers and influence! Priests should be sent to lead the lost into the fold. The strength of your divine presence will purge this heresy from the land! Another option would be to send an army to root out the cult leaders.	rare 25|maxdominion 5|code 172	0x6B00 1|code 173|incdom -2
2013	Your divine presence has purged heresy f	0	Your divine presence has purged heresy from the land, aided by some summary executions of Cult worshippers.	dominion 6|code 173	code 0|incdom 2
2014	Your priests have been able to sway the 	0	Your priests have been able to sway the emerging cult into the fold of pure faith!	0x4800 25|dominion 2|code 173	code 0
2015	The Fertility Cult has taken root! Peopl	0	The Fertility Cult has taken root! People pay secret offerings to Gaia and run naked in the woods at full moon. If this is to be stopped, brute force will be needed.	rare 15|maxdominion 5|code 173	code 174|incdom -3|decscale2 Death
2016	A leader of the Fertility Cult is sowing	0	A leader of the Fertility Cult is sowing her blasphemies in secret! Unless found and dealt with, the Cult will grow in power and influence!	rare 10|code 174|code 177	stealthcom Dryad Mother|addequip 1|4d6units Satyr Sneak|4d6units Heretic|incdom -3|code 177
2017	The forces of nature are trying to recla	0	The forces of nature are trying to reclaim this land!	rare 3|noseason 3|code 174|code 177	kill 4|2com Monster Boar|2com Dryad|6d6units Satyr Sneak|4d6units Vine Man
2018	The forces of nature are trying to recla	0	The forces of nature are trying to reclaim this land!	monster Dryad Mother|rare 7|noseason 3|code 174|code 177	kill 4|1com Dryad Mother|addequip 1|4d6units Satyr Sneak|4d6units Heretic
2019	The forces of nature are trying to recla	0	The forces of nature are trying to reclaim this land! [Thistle Mace]	monster Dryad Mother|rare 3|noseason 3|code 174|code 177	kill 4|1com Ivy King|addequip 1|addequip 9|8d6units Vine Man
2020	A being of vines and moss has attacked o	1	A being of vines and moss has attacked one of your commanders!	commander 1|rare 3|noseason 3|code 174|code 177	assassin Vine Ogre
