id	name	rarity	loc	level	path	F	A	W	E	S	D	N	B	gold	res	sup	unr	exp	lab	fort	scale1	scale2	domspread	turmoil	sloth	cold	death	misfortune	drain	fireres	coldres	shockres	poisonres	str	prec	mor	undying	att	darkvision	aawe	rit	ritrng	hmon1	hmon2	hmon3	hmon4	hmon5	voidgate	sum1	n_sum1	sum2	n_sum2	sum3	n_sum3	conj	alter	evo	const	ench	thau	blood	heal	disease	curse	horror	holyfire	holypow	scry	adventure	other	sum4	n_sum4	hcom1	hcom2	hcom3	hcom4	hcom5	mon1	mon2	mon3	mon4	mon5	com1	com2	com3	com4	com5	reveal	provdef1	provdef2	def	F2	A2	W2	E2	S2	D2	N2	B2	awe	reinvigoration	test
864	Field of Undead Clams	1	32	1	Death						1																																																																																											
865	Fields of Glowing Algae	0	32	1	Nature							1																																																																																										
866	Giant Anemone	0	32	1	Nature							1																																																																																										
867	Ridge of Empty Shells	0	256	1	Nature							1																																																																																										
868	Wall of Living Kelp	0	32	1	Nature							1																																																																																										
869	Monstrous Conch	0	32	1	Nature							1																																																																																										
870	Living Sediment	0	32	1	Nature							1																																																																																										
871	Lair of the Eel-King	1	256	1	Nature							1																																																																																										
872	Breeding Ground of Eels	1	256	1	Nature							1																																																																																										
873	Halls of the Drowned	1	16416	1	Death						1																																						619	1	618	1																																																		
874	Sunken Ship of Dread	2	17440	2	Death						1																																						2241	5																																																				
875	The Wormwood Tower	1	16386	3	Nature		1				1	1																																																																							2358																			
876	The Dusk Spiral	1	16386	1	Nature						1	1																																																																							2361																			
877	Blackrose Tower	1	16386	1	Earth						1	1																																																																							2362																			
878	The Dusk Spiral	1	16386	1	Death						1	1																																																																							2361																			
879	Hoburg Holdfast	2	3088	0	Nature																																																																									271	273				272						273													
880	Hoburg Settlement	2	16	0	Nature																Growth																																																									483					1198																			
881	Barbarian Warcamp	5	14	0	Nature																																																																									139	140				147	141																		
882	Knightly Order	5	223	0	Holy																Order																																																									22					23						22													
883	Knightly Order of the Deep	5	32	0	Holy																Order																																																									1060					406						160													
884	The Halfway Inn	1	16607	0	Astral									10																																																																																								
885	Ancient Ruin	1	223	0	Nature																																												2223	2																																																				
886	Order of the Secret Light	2	17631	1	Holy					1																																																																				22					478	23					22													
887	Order of the Undying	2	17631	1	Holy																																												189	3																																																				
888	Shrine of the Outcast	1	735	1	Holy																																												456	1	459	1																																																		
889	Temple of the Spider God	2	735	1	Holy																																												782	3	2223	1																																																		
890	Temple of the Hidden Flame	2	735	2	Holy	1																																											527	1																																																				
891	Temple of Flying Monkeys	2	16607	1	Holy																																												1199	1																																																				
892	The Martyrs Grave	2	767	1	Holy																		1																																																																															
893	Cradle of Faith	2	767	1	Holy																		2																																																																															
894	Pillar of Life	2	17151	1	Holy																																																														10%			healing																																
895	The Prophet's Sigil	2	767	1	Holy																																																																																			5														
896	Oracle's Lair	2	767	1	Holy																																																																																			3														
897	Mountain of Revelation	2	4	1	Holy																																																															1																				0														
898	Place of Prophecy	2	767	1	Holy																																																																																			5														
899	Stele of Law	2	255	1	Holy												-10																																																																																					
900	Temple of Life and Death	2	16607	1	Holy						1	1																																																																																										
901	Garden of Longevity	2	16599	2	Holy																																																									7%								healing																																
902	Smoulderstone	0	223	1	Fire	1																																																																																																
903	Wildfire Glade	0	2	1	Fire	1																																																																																																
904	Caverns of Glowing Moss	0	516	1	Fire	1																																																																																																
905	Glowing Fissure	1	4	1	Fire	1																																																																																																
906	Smouldering Maze	1	223	1	Fire	1																																			F	2																																																												
907	Scorched Tower	2	16607	2	Fire	2																																																											3%																																					
908	House of Embers	2	16607	1	Fire	1																																																																																																
909	Heart of the Desert	2	16392	3	Fire	2															Heat																				F	2																																																												
910	Egg of the Phoenix	2	223	3	Fire	2																																																																																																
911	House of Aratron	2	16607	2	Fire	2			1																																																																										551																			
912	Rune of Fire	1	223	2	Fire																																				F	2																																																												
913	Maze of Frozen Flames	2	16591	2	Fire																																				WF	2																																																												
914	Devil's Furnace	1	16607	3	Fire	1																																											2286	2																																																				
915	Copper Idol	0	223	2	Air		1																																																																																															
916	Sparkling Fields	0	223	1	Air		1																																																																																															
917	Skysplit Oak	0	87	1	Air		1																																																																																															
918	Wailing Woods	1	16386	1	Air		1				1						3																																																																																					
919	Nest of Obsidian Snakes	1	223	3	Air		2																																																																																															
920	Black Hawk Nest	1	6	2	Air		1																																										517	2																																																				
921	Ziggurat of Thunder	2	223	1	Air		2																																																																																															
922	The Highest Peak	1	16388	2	Air		1																																		A	2																																																												
923	Pinnacle of Power	2	16607	3	Air		1																																		A	3																																														0														
924	Rune of Air	1	255	2	Air																																				A	2																																																												
925	Garden of Frozen Flowers	0	223	1	Water			1																																																																																														
926	Wellspring of Secrets	0	223	3	Water			1																																																																																														
927	Lake of Living Water	0	223	3	Water			1																																																																																														
928	Subterranean Lake	1	512	1	Water			1																																																																																														
929	Forgotten Oasis	1	8	1	Water			1								10																																																																																						
930	Plaguewater Oasis	1	8	1	Water						1																																																				5%																																							
931	Frozen Glen	1	2	1	Water			1																																																																																														
932	Melting Cliffs	1	223	2	Water			1	1																																																																																													
933	Pool of Perpetual Night	1	16607	3	Water			1																																																																																														
934	Enchanted Glacier	1	4	1	Water			1																																									2231	1																																																				
935	Wellspring of the Virgins	2	16607	1	Water			1																																																						3%																																								
936	Sign of Nodens	2	16450	3	Water			2																																																						3%																																								
937	Rune of Water	1	255	2	Water																																				W	2																																																												
938	Pharos	2	16448	1	Water																																				*	2																										2		scrying lasts 2 turns																																
939	Deep Crevasse	0	255	1	Earth				1																																																																																													
940	Mud Field	0	223	1	Earth				1																																																																																													
941	Quicksand	0	223	1	Earth				1																																																																																													
942	Stone Tree Grove	1	18	2	Earth				1																																																																																													
943	Flooded Mines	2	215	1	Earth				1		1																																																																																											
944	Underworld Entrance	2	223	3	Earth				2						20																																																																																							
945	Abyss	2	255	1	Earth				1																																																																																													
946	Heart of the Mountain	2	16388	3	Earth				2																																E	3																																																												
947	Basilisk Cave	2	223	2	Earth				1																																															20%																																														
948	Rune of Earth	1	255	2	Earth																																				E	2																																																												
949	Unfound Door	0	255	4	Astral					1																																																																																												
950	Starlit Pond	0	215	1	Astral					1																																																																																												
951	Garden of Pearls	0	215	2	Astral					2																																																																																												
952	Impossible Angle	1	223	2	Astral					1																																																							4%																																					
953	Moonlit Halls	1	223	1	Astral					1																																																																																												
954	Brook of Glimmering Pearls	1	215	1	Astral			1		1																																																																																												
955	Seer's Grave	2	767	2	Astral					1																																																																														3														
956	Dreaming Stone	2	767	2	Astral																																				S	2																																														3														
957	Sorcerer's Circle	2	223	2	Astral																																																							20%																																										
958	Archaic Diagram	2	255	2	Astral																																																				20%																																													
959	Chamber of Enchantment	2	223	2	Astral														lab																																								20%																																											
960	Unsettling Pattern	2	255	2	Astral																																																							20%					5%																																					
961	Basalt Mirror	2	255	2	Astral																																																															1																																		
962	Cave of the Sleepers	2	16607	4	Astral					1																																																																																												
963	The Gnomon	2	16607	2	Astral					1																															S	3																																																												
964	Labyrinth of Skulls	0	223	1	Death						1																																																																																											
965	Garden of Bones	0	223	1	Death						1																																																																																											
966	Lilium Vale	0	95	2	Death						1																																																																																											
967	Murder Bog	1	130	2	Death						1																																																																																											
968	Swamp of Shadows	1	128	1	Death						1																																																																																											
969	Murdering Mire	1	223	2	Death						1																																																																																											
970	Animal Cemetery	1	219	2	Death																																												715	1	716	1																																																		
971	Gloom Gate	1	255	3	Death						2																														D	2																																																												
972	Tomb of the Grand Thaumathurg	2	16479	3	Death						1																														D	2																																																												
973	Sigil of the Ancients	2	16639	3	Death																																				D	3																																																												
974	Circle of Sending	2	223	2	Death																																				*	2																							2%																																					
975	Nidus of Power	2	255	2	Death																																																							20%																																										
976	Conjurer's Circle	2	223	2	Death																																																		20%																																															
977	Plague Barrow	2	223	1	Death						1																																																				2%																																							
978	Pit of Despair	2	16607	1	Death						1						-5																																																																																					
979	Wolf Oak	0	223	1	Nature							1																																																																																										
980	Grove of Fertility	0	215	1	Nature							1																																																																																										
981	Druid's Grave	0	223	2	Nature							1																																																																																										
982	Lair of Spiders	2	2	1	Nature							1																																					782	2																																																				
983	Skin Shifter's Barrow	2	223	1	Nature							1																																																																																										
984	The Frogmarch	1	16512	1	Nature							1																																					2222	2																																																				
985	Heart of the Forest	2	16386	3	Nature							2																													N	3																																																												
986	Field of Golden Rye	1	16	1	Nature							1		20																																																																																								
987	Withering Woods	2	2	1	Nature						1	1																																																																																										
988	Grove of Hooded Spirits	2	2	3	Nature							1									Growth																																									3%																																								
989	Fungus Forest	1	719	1	Nature							1																																																																																										
990	Birdsong Tower	2	17119	1	Nature																																				N	2																																														0														
991	The Crone	2	16607	2	Nature																																																											10%																								0														
992	Thorn Maze	1	95	2	Nature							1																													N	2																																																												
993	Earthroot Grove	2	18	1	Nature							1																													N	2																																																												
994	Starsong Grove	2	16386	3	Nature					1																															S	3																																																												
995	Tree of Life	2	16599	2	Nature																																																									3%																																								
996	Tree of Knowledge	2	16607	2	Nature													8																																														4%																																						
997	Tower of the Moon	2	16607	2	Nature																																												1224	1																																																				
998	Vale of Healing Herbs	2	199	2	Nature																																																									2%																																								
999	Slave Market	1	735	0	Blood								3				2																																																																																					
1000	Forgotten Village	0	2	1	Blood								1																																																																																									
1001	Sacrificial Grove	1	18	1	Blood																																																								20%																																									
1002	Bleeding Tree	2	2	1	Blood							1																																																																																										
1003	Stained Altar	2	16607	1	Blood																																												1736	1											20%																																									
1004	Pentagram	1	223	2	Blood																																				B	2																																																												
1005	The First Gate	1	17119	1	Blood																																																								10%																																									
1006	The Second Gate	1	17119	2	Blood																																																								15%																																									
1007	The Third Gate	2	17119	4	Blood																																																								25%																																									
1008	Tower of the Deformer	2	16607	2	Blood																																												468	1	460	1	455	1		20%																																														
1009	House of Disfigurement	2	16607	2	Blood																																												460	1						20%																																														
1010	Guild of the Merchant Princes	2	17472	0	Astral									30																																																																										0														
1011	The Golden City	2	17440	0	Water									50	10																																																															1056																								
1012	Subterranean City	2	17920	0	Earth									30	20																																																																																							
1013	Demon Gate	5	223	0	Blood												10																																88	1																																																				
1014	Cursed Land	5	223	0	Nature																Magic																																											2%																																						
1015	Ruins of the Old Empire	1	1247	0	Death						1																																																																																											
1016	Ancient Temple of C'tis	1	1152	0	Death						1																																																																																											
1017	The Throne of the Moon	12	17407	0	Holy			1		1													2				-1								3																																																																			
1018	The Throne of the Sun	13	17407	0	Holy	3																	5	-1		-1	-1			5																																																																								
1019	Imperial Tomb	5	1247	2	Death						1																																																																																											
1020	Toad Tribe Settlement	5	128	0	Nature																																																																									1613					1614						1613													
1021	The Throne of Sorcery	13	17407	0	Holy					1	1	1											3																																					20%																																										
1022	The Throne of Elements	13	17407	0	Holy	1	1	1	1														3																																		20%																																													
1023	The Shattered Throne	13	17407	0	Holy					2			4				10				Magic	Misfortune	3					1																																	30%			1%	5%																																					
1024	The Throne of the First Age	12	17407	0	Holy																Magic		3																																																																															
1025	The Throne of the Second Age	11	17407	0	Holy																		2											1																																																																				
1026	The Throne of the Stars	11	17407	0	Holy					2													1																		S	1																																																												
1027	Citadel of the Mage King	2	16398	6	Astral					1									lab	1																																																																																		
1028	Necromancer's Lair	2	16398	6	Death						2								lab																						D	2																																																												
1029	Tower of Ice	2	16396	6	Water			2											lab																						W	2																																																												
1030	Tower of Thorns	2	16386	6	Nature							2							lab																						N	2																																																												
1031	Oath Stone	1	16607	6	Death																																																																																				2190													
1032	Isle of Rebirth	2	16416	6	Fire	1					1																																																			10%																																								
1033	Dragon Lair	2	16388	6	Fire	2																																																																																																
1034	Halls of the Mountain King	5	16388	5	Earth				1					50																																																																																								
1035	Ruined Halls of the Mountain King	5	16388	5	Earth																																																																																																	
1036	Horror Cult	5	223	5	Astral																																																												3%																																					
1037	Cult of Death	5	16607	5	Death																Death																																																																																	
1038	Translucent Tower	5	16607	3	Air														lab																						A	2																																									93																			
1039	Withered Land	5	16607	1	Death						1										Death																																																																																	
1040	Hall of the Draugadrott	5	223	2	Death																																																																																																	
1041	City of the Ancients	5	16607	2	Earth																																																																10																																	
1042	Ancient Scriptorium	5	16607	2	Astral														lab																																																																																			
1043	Tomb of Ice	5	16607	3	Water			1													Cold																																																																																	
1044	Wellspring of Abundance	5	16607	5	Water			2						20	20						Growth																																																																																	
1045	Spirit Pact	5	223	3	Death																																																																																				674	675												
1046	Secluded Village	5	223	1	Astral																																												971	1	970	2	968	1																	969	1																														
1047	Statue of Hideous Visage	5	223	1	Blood																																																							5%					4%																																					
